ANIOS_ESC,ING_X_HRS
17,21.41983
12,29.16667
6,20.83333
6,25
16,46.51163
2,80
11,40
12,20.83333
13,21.31783
6,24
6,39.13043
9,20
14,29.06977
14,33.33333
17,67.65328
17,214.28571
9,69.76744
11,29.06977
17,55.61173
6,22.22222
9,33.33333
15,62.0155
7,18.75
6,16.66667
9,26.08696
9,30
12,24.07407
9,36.36364
9,19.37984
16,145.34884
9,5.38329
17,41.34367
12,416.66667
18,255.81395
17,37.5
12,25
9,26.82927
6,30
16,71.42857
12,26.66667
6,22.22222
16,41.6522
9,25
9,39.53488
17,28.57143
9,32.6087
11,33.22259
6,25
17,31.25
11,33.91473
3,9.23034
17,27.77778
9,27.08333
12,81.39535
17,90.60078
9,25.1938
9,8.30565
6,12.9199
17,42.85714
3,16.66667
21,62.0155
11,37.5
12,29.06977
16,55.55556
16,53.57143
6,15
9,25
9,11.11111
15,25
17,55.81395
10,97.91667
14,25
12,58.13953
12,50
17,33.22259
6,16.66667
12,10
17,96.89922
9,4.03585
12,10.65891
6,13.33333
9,33.33333
17,85.27132
1,18.51852
12,19.14894
13,44.11765
12,58.33333
4,8.99779
14,27.77778
6,50
16,81.39535
6,11.25
9,112.5
9,33.22259
16,26.66667
8,25
9,20.83333
17,24.22481
15,93.02326
9,35.55556
9,14.95017
17,45
8,30
9,16.66667
6,2.90698
9,16.47287
16,29.06977
11,22.22222
18,348.83721
9,69.76744
17,232.55814
17,70.47216
6,20.83333
12,60
9,37.5
17,123.11902
18,96.89922
12,25
9,22.60982
3,19.60784
16,113.63636
6,21.42857
17,33.33333
9,25
6,54.54545
6,11.53846
9,26.66667
9,27.08333
6,18
8,38.75969
9,14.28571
12,35.55556
17,87.2093
12,40.37306
6,31.00775
17,93.02326
4,5.17054
9,16.66667
11,6.66667
9,43.33333
16,38.75969
6,17.44186
9,18.75
12,30
11,21.80233
12,47.70423
6,46.2963
9,22.91667
9,20.83333
16,53.15615
12,12.5
1,8.33333
9,32.5
6,18.51852
16,101.11223
12,37.5
9,42.55319
4,12.5
9,27.08333
6,19.93355
9,27.08333
6,22.22222
16,96.89922
9,20.83333
6,3.87907
6,47.36842
5,55.55556
8,25
9,13.33333
14,40.69767
14,16.66667
9,23.33333
16,83.05648
6,16
17,128.64918
9,21.73913
12,25
9,21.875
5,19.93355
8,50
9,24.22481
12,14.53488
11,30.03876
11,16.91332
12,44.44444
16,124.58472
12,48.44961
16,22.5
6,31.00775
12,34.10853
17,34.88372
9,21.37984
9,16.91332
16,66.66667
16,46.51163
16,55.55556
9,115.38462
12,64.59948
12,69.76744
9,22.22222
9,24.39276
9,30
6,12.5
9,27.13178
17,58.13953
6,8.07494
6,2.51414
9,19.93355
15,29.06977
9,31.25
20,35
12,65.11628
6,25
16,55.55556
9,11.42857
12,16.66667
9,25
17,225
6,18.94918
12,35
12,27.77778
16,82.84884
17,58.13953
9,20.83333
9,13.33333
16,41.66667
12,14.88095
9,16.66667
15,38.75969
9,58.33333
12,27.68549
15,33.33333
12,6.66667
3,13.28904
5,18.75
9,23.33333
3,2.07641
9,11.42857
15,24.91694
3,30.35714
4,6.76041
9,19.37984
11,26.66667
12,50
11,37.5
12,100
16,62.0155
9,33.33333
6,44.64286
